ID ;Gender;Age_months;Age_group;AdditionalSupportNeeds;MidtestingAgeMonths;MidtestingAgeGroup;Mediansplit_midtesting_entiresample;Dropout;Reason_Dropout;Success;ExperimenterStopped_TimeUp;ExperimenterStopped_ChildUnmotivated;ChildStoppedNotCrying;ChildStoppedCrying;AfterHowManyMin;WasAnyToolUsedtoTryToGetSticker;FirstToolUsedToTryToGetSticker;IfToolsWereUsedToTryToGetSticker_WhichOrder;DidChildTryToGetToolsFromTheBoxes;WereAnyToolsFromTheBoxesObtained;IfToolsWereObtainedFromBoxes_WasStickUsed;IfToolsWereObtainedFromBoxes_WhichOrder;Description;Category;Video;Success;Specifier1;Specifier2;Specifier3;Specifier4;Specifier5;Specifier6;Specifier7;Specifier8;Score
89;m;43;3;no;45;3;young;no;;yes;no;no;no;no;09:22;yes;rope;rope, long stick, hose;yes, with hand and tool;yes;yes;rope, long stick, hose;"Goes round table, inserts hand in pipe box, inserts stick in pipe box,, then tries to insert hand in stick box and in hose box, again tries to insert hand in hose box, takes jumper off and tries to reach rope with hand, pushes arm in box, has to be discouraged (so not to get hurt), takes stick, inserts stick in rope box, tries to get rope, is a bit hard for him but gets rope out, puts stick on top of box, goes round table, inserts rope in tube, first in one side, then into the other, is persistent, pushes all of the rope in, first in one side and then in the other (6 min reached by now), ""I'm trying to get it out over there"" [gestures that he wants to push the star out] ""it's not even doing it"", keeps pushing and is very engaged ""not coming out"", goes round table and puts rope back in box, inserts stick in stick box and gets long stick, inserts long stick in tube, into both sides, goes round table, inserts long stick back in its box, inserts short stick in hose box and gets hose out (also with hand), inserts hose in tube, SUCCESS";success_withsometrialanderror;ID89_AdditionalTask_ToolUse_m_3y;Success;With some trial and error;;;;;;;;11
88;m;36;3;no information;39;3;young;yes;did not understand instructions;;no;no;yes;no;;;;;;;;;"unclear whether he understood the instructions! Picks up stick and inserts in tube, both sides, tries to get star, unclear whether he understands the prompts, inserts stick in tube, tries to get star, gets prompt, unclear whether he understands, still inserts stick in tube, points to all boxes, gives stick to RA, on prompt of RA goes round the table, doesn't do much, goes back to tube, ""look!"" points to hose, inserts stick in tube but quickly stops, goes round table and looks in room for something, inserts stick in tube, hits stick on all boxes, puts stick on table, E stopped after 7:30, child left table several times";dropout;ID88_AdditionalTask_ToolUse_m_3y_Dropout;;;;;;;;;;
22;f;54;4;no;57;4;old;no;;no;no;no;yes;no;;yes;short stick;short stick;no;;;;"inserts hand in tube during instructions, inserts stick in tube (engaged) and tries to get star, ""why is it not coming out?"", gets prompts, inserts hand in tube, then stick, ""it's not coming"", hits stick on tube, gets prompt, walks round the table, points to long stick, hits hard on long stick box, walks around to tube, hits stick on top of tube, ""it's stuck...it's stuck in the lid...we can't get it out"", hits stick on tube ""why is it not coming out? It's not coming out"", gets prompt, points to rope ""How can i get it out? It's not coming out!"" ""it's far away"", stops game and wants to go back to nursery after 4:30 min";nosuccess_focusontubeonly_shortstick;ID22_AdditionalTask_ToolUse_f_4y;No success;Focus on tube only;Uses short stick;;;;;;;2
27;f;53;4;no;55;4;old;no;;no;no;yes;no;no;;yes;short stick;short stick;no;;;;"inserts hand in tube during instructions, inserts stick in tube, ""I can't get it out"", tries to get the sticker, gets prompt, ""there is only this to help me"" [small stick], ""anyway these boxes…""inserts stick in tube, gets prompt, kneels in front of tube and inserts stick in tube, gets prompt, keeps stick inserted in tube, turns stick, gets prompt, walks round the table 360 degrees to tube, inserts stick in tube, gets prompt, ""that's the only thing on the table"", gets prompt, keeps stick inserted in tube, E stops at 6:40 ONLY STICK INSERT IN TUBE";nosuccess_focusontubeonly_shortstick;no video, camera died;No success;Focus on tube only;Uses short stick;;;;;;;2
100;m;57;4;no information;59;4;old;no;;incorrect;no;no;no;no;02:50;yes;short stick;short stick, long stick;yes, with hand and tool;yes;yes;long stick (with hand), hose (with long stick;"picks up stick during instruction, inserts stick in tube, ""I think I need a long stick"", ""If I take the long stick, I can get it"", goes round table and inserts hand in long stick box, gets long stick with hand, ""Got the longer stick! Easy."", inserts long stick in tube, in both sides, ""I think I need the tube the best"", ""I will try to get the tube"", inserts long stick in pipe box and gets pipe ""easy"", inserts hose in tube and gets sticker SUCCESS";incorrectsuccess;ID100_AdditionalTask_ToolUse_m_4y;Incorrect success;Attends to tool boxes;Uses hand;Tries to get distractor tool;Gets distractor tool;Uses distractor tool to get hose;Gets hose with distractor tool;;;9
29;f;49;4;no;50;4;old;no;;no;yes;no;no;no;;yes;short stick;short stick, rope;yes, with hand;yes;no;rope (with hand);"inserts finger in tube ""my fingers can't fit"", tries to lift tube, has to be discouraged, ""I can't get it out"", keeps inserting finger, inserts both hands at same time in left and right, ""can't"", inserts both hands, ""maybe a stick"" picks up stick and inserts in tube, right and left, ""oh-oh, a stick won't help"", ""maybe a finger - that won't do the job"", ""come on, keep trying"", drops stick and runs after it, ""oh...oh"", ""I can't get it out"", inserts stick again, ""oh!"" takes stick out, picks up stick again and inserts in tube, ""oh, can't get it out"", ""oh"", gets prompt, ""something's just up"", waves at box, walks round the table, ""maybe some string"" (repeated), reaches in rope box with hand but doesn't reach rope, inserts stick in tube, drops stick but picks it up immediately, ""I was thinking about string"", goes back to rope box, looks at it, goes back to tube ""maybe some string"", goes back to rope box, inserts hand and gets rope with hand, inserts rope in tube, ""string won't do"" [10 min over] inserts hand in stick box, inserts hand in rope box, takes rope up again and inserts in tube, E stops. GOT STRING WITH INCORRECT MEANS";nosuccess_focusontoolboxes_gotatoolfromtoolboxes_useditontube_distractortoolonlyhand;ID29_AdditionalTask_ToolUse_f_4y;No success;Attends to tool boxes;Uses hand;Tries to get distractor tool;Gets distractor tool;Uses distractor tool on tube;;;;8
87;f;52;4;no;54;4;old;no;;no;no;yes;no;no;;yes;short stick;short stick;yes, with hand;no;;;"Picks up stick and inserts in tube, takes it out again right away and slowly goes round table (to short end), goes back to tube and inserts stick, takes stick back and goes round table to one end, then in other direction to other end and then in front of the boxes, looks at boxes, touches stick box ""I can't get it"", tries to reach long stick with hand, is a bit hesitant, takes stick and inserts in tube, takes stick out and goes round to boxes, tries to reach rope with hands, doesn't say anything, slowly walks round the table, looks into boxes, tries to take out the hose with hand but does not fit through the mesh, slowly goes back to tube, gets prompt, inserts stick in tube in both sides, takes stick out, slowly goes round the table, inserts stick in tube, in both sides, its stick on table, gets prompt, inserts stick in tube, takes stick out, E stopped game. TRIES TO TAKE HOSE WITH HAND";nosuccess_focusontoolboxes_hosehand;ID87_AdditionalTask_ToolUse_f_4y;No success;Attends to tool boxes;Uses hand;Tries to get hose;;;;;;4
30;m;51;4;no;52;4;old;no;;no;yes;no;no;no;;no;;;no;;;;"Walks around table, looks at everything, doesn't touch anything, touches front of pipe box and other boxes ""get the things out"" looks at tools on table, walks around table, looks at tools, touches front of hose cage, stands in front of cages and touches them, no tool pick up after 6:30, prompt after 7 min, doesn't react, stands in front of box not doing much, just touches box, when E asks how to solve it, points to box with hose. NO TOOL PICKUP";nosuccess_focusontubeonly_no/littleinteraction;ID30_AdditionalTask_ToolUse_m_4y;No success;Focus on tube only;no/little interaction;;;;;;;0
31;f;44;3;no;44;3;young;no;;no;yes;no;no;no;;yes;short stick;short stick;no;;;;"Picks up stick, tries to pick up box from table, picks up stick ""what's that?"" pushes stick on outside of tube several times, has stick in hand and pushes on side of tube, holds stick up ""what's that?"", holds stick up ""I don't need this"", lets stick fall between two of the boxes at 6:00 tries with hand to get tape off, fetches stick again and inserts stick in tube, hits stick slightly on tube, lets stick fall again between boxes, fetches stick E stopped after 10 min. INSERTED STICK IN TUBE";nosuccess_focusontubeonly_shortstick;ID31_AdditionalTask_ToolUse_f_3y;No success;Focus on tube only;Uses short stick;;;;;;;2
36;m;38;3;no;41;3;young;no;;no;no;yes;no;no;;yes;short stick;short stick;yes, with hand;yes;no;long stick (with hand);"Inserts hand in long stick box, gets long stick ""What is this?"", puts stick on top of box, touches tube, puts stick between boxes, gets stuck, tries to get stick out, takes long stick and puts it in an occluder lying nearby, inserts short stick in tube, inserts hand in rope box, tries to reach rope but cannot, ""I can't"", ""you can"", ""I can't"" keeps telling E about new trousers, ""I can't"", disengages, plays football, disengages, inserts fingers in both sides of tube, E stopped game after 7 min. GOT ONE TOOL WITH HAND; INSERTED SHORT STICK IN TUBE";nosuccess_focusontoolboxes_gotatoolfromtoolboxes_distractortoolonlyhand;ID36_AdditionalTask_ToolUse_f_3y;No success;Attends to tool boxes;Uses hand;Tries to get distractor tool;Gets distractor tool;;;;;5
37;f;37;3;no;40;3;young;no;;no;no;yes;no;no;;yes;short stick;short stick;yes, with tool;no;;;"Picks up stick during instruction, after instruction inserts hand in tube, ""I can't get it out"", inserts stick in tube ""I can't get it out"", ""I can't"", ""no"" ""no-ho-ho"", touches E and tries to engage her ""no"", E prompts child, child inserts stick in tube ""I CAN'T"", is quite engaged, kneels down, ""I can't"", walks round the table, inserts stick in rope box and then in stick box and hose box but doesn't try to get any of these tools out, touches E ""I CAN'T"", inserts stick in tube ""I can't get it out"", kneels in front of tube, ""I can't get it out"", disengages, rolls on floor, ""I can't"", stands up again, inserts stick in tube, ""I can't get it"", E stopped game after 8 min. INSERTED STICK IN TUBE, AND IN TOOL BOXES, BUT DIDN'T TRY TO GET ANY TOOLS OUT";nosuccess_focusontoolboxes_hoseshortstick;ID37_AdditionalTask_ToolUse_f_3y;No success;Attends to tool boxes;Uses short stick;Tries to get hose;;;;;;4
45;f;48;4;no;51;4;old;no;;no;no;yes;no;no;;yes;short stick;short stick, rope;yes, with tool and hand;yes;no;rope (with hand);"Picks up stick during instruction, inserts stick in tube, ""it's not bending"", ""it's still not bending"", inserts stick in tube, ""it is still not working"", comes to E, gets prompt, ""maybe this"" inserts stick in stick box and then in hose box, ""I don't know which one to choose"", inserts stick in rope box, ""I'm trying to get the rope but it's not working"", ""It's still not working"", gets rope with hand and out of box, ""it escaped"", inserts rope in tube and pushes it with stick inside tube ""it's not working"", ""maybe it wasn't a good idea"" goes round table and puts rope back in box, ""it's still not working"", ""there is only one way"", inserts stick in tube ""I know I'm doing it because look it's nearly close to its end"" inserts stick in tube ""I'm not strong enough"" ""I don't think I' strong enough"", inserts stick in hose box, goes back round the table and inserts stick in tube, ""It's still not working"", inserts stick in rope box, ""There was only one way [points to rope] and it wasn't working"" - stopped because time was over. TIRED TO GET  A TOOL WITH THE STICK; GOT A TOOL WITH HAND";nosuccess_focusontoolboxes_gotatoolfromtoolboxes_useditontube_distractortoolonly_hand;ID45_AdditionalTask_ToolUse_f_4y;No success;Attends to tool boxes;Uses hand;Tries to get distractor tool;Gets distractor tool;Uses distractor tool on tube;;;;8
48;m;42;3;no;44;3;young;no;;no;yes;no;no;no;;yes;short stick;short stick, rope;yes, with tool;yes;yes;rope;"Picks up stick and inserts in tube, inserts finger in tube ""It's too little"", ""I can't"", inserts stick in tube, ""funny box…argh…I'm trying to get"", kneels. Hits stick on tube, inserts stick in tube ""I'm trying to do it"", gets prompt ""ah this"" points to hose box, inserts stick in tube, ""I can't get it out"", inserts stick in tube, gets prompt, touches hose box ""this"", kneels down and looks at tube, gets prompt, ""this"" points to hose box, kneels down and makes noise into tube, ""I need this"" points to rope box, ""I need this"", gets prompt, points to hose box, but doesn't go round table, goes round table, inserts stick in long stick box, ""It's not coming out of the box"", inserts stick in hose box, then in rope box ""It's not coming out"", then gets rope with stick, ""i try to get this [star] with this [rope]"", looks at E, holding rope, tries to insert in tube, ""It's not helping"", inserts stick in long stick box, then in hose box, cannot reach those tools, E stopped game because 10 min were over. GOT ROPE WITH STICK AND TRIED TO INSERT ROPE IN TUBE";nosuccess_focusontoolboxes_gotatoolfromtoolboxes_useditontube_distractortoolonlyshortstick;ID48_AdditionalTask_ToolUse_m_3y;No success;Attends to tool boxes;Uses short stick;Tries to get distractor tool;;;;;;8
47;f;52;4;no;54;4;old;no;;no;yes;no;no;no;;yes;short stick;short stick, long stick, rope;yes, with tool;yes;yes;rope, long stick;"Picks up stick during instruction, tries to pick up tube, has to be discouraged, inserts finger in tube, picks up stick and hits stick on tube and on the boxes, ""it's a drum!"", inserts stick in tube, touches bottle lid ""It's coming out!---get out!"" ""aha!"" points to hose box ""I wanna get this thing out, how do you get this thing out?"" doesn't go round the table, hits stick on boxes, gets prompt, walks round table without stick, goes to hose box ""how do you get this thing out?"" drums on box with hand goes round table again, hits stick on tube, goes back round table and inserts stick in rope box, gets rope out, puts rope next to tube ""I need something else"", ""I can get that!"" goes to hose box and tries to get hose with stick, fails, then gets long stick with short stick, inserts long stick in tube, inserts rope in tube ""hm"", goes back to hose box and tries to get hose with short stick, moves it ""please can you get it out for me?"" spits on hose box, pushes hose a bit more, but fails to get it out. E stops game because time was out. TRIED TO GET HOSE WITH SHORT STICK";nosuccess_focusontoolboxes_gotatoolfromtoolboxes_useditontube_distractortoolonlyshortstick;ID47_AdditionalTask_ToolUse_f_4y;No success;Attends to tool boxes;Uses short stick;Tries to get distractor tool;Gets distractor tool;Tries to get hose;;;;8
46;f;48;4;no;50;4;old;no;;yes;no;no;no;no;05:41;yes;short stick;short stick, long stick, hose;yes, with tool;yes;yes;long stick, hose (with long stick);"Inserts stick in tube ""I can't do it"", ""anything on the table can help me"", inserts stick in tube, ""I can't do it"" (2x) ""so what can we do?"" ""so maybe we can get the long stick…can I please get the long stick?"", keeps inserting stick in tube, ""I can't do it yet"", ""I can't do it"", ""this stick is not long enough, that's the problem"", ""this stick is not long stick, so that's why I need that long stick"" goes round table, points to long stick box, inserts stick in long stick box and gets long stick, inserts long stick in tube, ""this stick is not helping either"", goes round table and inserts long stick in hose box and tries to get hose out, tries hard, gets hose, ""Let me try this one, longer than that one"" ""maybe it might help me"" ""i finally got it!"" CORRECT SUCCESS, EVEN ""X SEQUENTIAL TOOL USE; GOT HOSE WITH LONG STICK";success_withsometrialanderror;ID46_AdditionalTask_ToolUse_f_4y;Success;With some trial and error;;;;;;;;11
50;f;43;3;no information;45;3;young;no;;no;no;no;no;yes;;yes;short stick;short stick;no;;;;"stands at boxes, ""i see something that might do it"" points to hose, ""I think that might do it"", ""I wonder how you do it cause it's stuck"", ""I think you can take it with this"" inserts short stick in tube ""How can i turn it?"" ""I wonder what we can do"" ""I can't do it"", ""I might need something different"", inserts stick in tube. Starts crying, E stopped game after 4:29";nosuccess_focusontubeonly_shortstick;ID50_AdditionalTask_ToolUse_f_3y;No success;Focus on tube only;Uses short stick;;;;;;;2
52;f;41;3;no information;43;3;young;yes;experimenter error, one of the boxes was not fixed properly;no;yes;no;no;no;;yes;short stick;short stick;yes, with hand;no;;;"inserts stick in tube""that can't in? I got something yellow but that can't in"", points to long stick ""what about this?"", ""what about my hands?"" inserts fingers in tube, goes round table, ""I think I need this"" points to rope box, goes round table again, inserts stick in tube and tries to reach star, is quite engaged, looks at E and hits stick on rope box, goes round box and tries to get rope with hand ""I'm trying to get that"", ""I think I need this"", inserts stick in tube, ""It can wobble, but it can't come out"", points to rope as E gives prompt, keeps stick inserted in tube, ""It can wobble, but it can't come out"", keeps stick inserted, gets prompt, again points to rope, but then keeps trying to get the sticker with the stick, gets prompt, points to rope box, E encourages her to try, tries to get rope with hand, then tries to get hose with hand, accidentally moves stick box so that stick moves closer to her, goes round table and inserts stick in tube, gets prompt, points to rope box, goes round table and tries to get rope with hand, then tries to get hose with hand. E stopped because time was over. ONLY STICK INSERT IN TUBE; TRIED TO GET ROPE AND HOSE WITH HAND";dropout;ID52_AdditionalTask_ToolUse_f_3y;;;;;;;;;;
53;f;42;3;no;44;3;young;no;;no;no;yes;no;no;;no;;;no;;;;"looks around, ""I don't know how to do it"", goes round table, points to rope box ""that one"", ""can't do it"", points to rope and then to tube, ""that thing or that thing"", ""I don't know what to do"" E asks her how to get the sticker out, child points to pipe ""maybe with this"", ""I don't know how to do it"", seems to have the right idea...""it's a bit stuck"" touches the tube and looks at it E asked to try one more time, child rattles tube ""it's stuck"", ""I can't do this"" NO TOOL PICKUP";nosuccess_focusontubeonly_no/littleinteraction;ID53_AdditionalTask_ToolUse_f_3y;No success;Focus on tube only;no/little interaction;;;;;;;0
66;m;54;4;no;56;4;old;no;;no;no;no;yes;no;;yes;short stick;short stick;yes, with tool;no;;;"tries to rip tube off, has to be discouraged ""but how?"" inserts stick in tube ""out we go"" ""it just won't work"" ""how?"" ""I've run out of ideas"" gets prompt, inserts stick in tube ""I can't do it"" I need help"", ""aha"" ""I might use that to get it out"" points to rope, goes round table, inserts stick in rope box, stick falls in, ""argh, now what do I do?"" (stick is within reach though), gets prompt, looks inside tube, ""I have zero ideas"", inserts finger in tube, gets prompt, gets short stick out of box, inserts stick in tube, then inserts stick in rope box, stick falls inside, he tries to reach it, but then gives up after 6 min, E also suggests to stop. Addition Zsuzsa: I would add that he gets sidetracked a couple of times, like whne he is talking about the christmas show or when he seems to be walking arounf the room for a wee bit. ";nosuccess_focusontoolboxes_distractortoolshortstick;ID66_AdditionalTask_ToolUse_m_4y;No success;Attends to tool boxes;Uses short stick;Tries to get distractor tool;;;;;;3
67;m;47;3;no;49;4;young;no;;no;no;no;yes;no;;yes;short stick;short stick;no;;;;"Inserts finger in tube ""I can't get it out"", ""so I need these things"" [points to boxes], ""but what's this for?"" [short stick] inserts stick in tube ""I can't get it out"", ""I can't get it out with this"", ""I try to get it out, but how do I get it out?"" ""How do i get it out?"" wants to pick up box with rope, has to be discouraged, inserts stick in tube, ""I try to get it out later because I can't get it"", gets prompt, inserts stick in tube, ""I try to get the sticker out later"", child stops game at 4:30";nosuccess_focusontubeonly_shortstick;ID67_AdditionalTask_ToolUse_m_3y;No success;Focus on tube only;Uses short stick;;;;;;;2
68;f;48;4;no;50;4;old;no;;incorrect;no;no;no;no;03:18;yes;short stick;short stick, rope, hose;yes, with hand;yes;no;rope (with hand), hose (with hand);"is on knees during instruction and also kneels in front of boxes, looks at hose box, ""walks"" on knees round table, inserts stick in tube, puts stick away, robs round the table, gets rope with hand, ""maybe this string can help"", inserts string in tube, gets hose with hand, inserts hose in tube, INCORRECT SUCCESS AT 3:18";incorrectsuccess;ID68_AdditionalTask_ToolUse_f_4y;Incorrect success;Attends to tool boxes;Uses hand;Tries to get distractor tool;Gets distractor tool;Uses distractor tool on tube;Gets hose with hand;;;9
69;m;51;4;no;54;4;old;no;;no;yes;no;no;no;;no;;;no;;;;Inserts finger in tube, stands still inserting finger in tube, gets prompt so that he gets unfrozen, but then he goes back to inserting the finger into the tube, gets prompt, but still only keeps inserting his finger, pushes hand in really hard, gets prompt, but doesn't react, keeps inserting fingers, gets prompt, briefly points to hose box but still continues to insert finger in tube, E STOPS BECAUSE TIME IS UP NO STICK PICK UP. Addition Zsuzsa: he seems pretty uninterested for most of the game, or at least not very engagged as he does not move from the pipe. ;nosuccess_focusontubeonly_hand;ID69_AdditionalTask_ToolUse_m_4y;No success;Focus on tube only;Uses hand;;;;;;;1
70;f;50;4;no;52;4;old;no;;no;no;yes;no;no;;no;;;no;;;;"Inserts finger in tube, ""I put my hand inside but it didn't work"", talks to E, is not concentrated on the game, points to hose box ""why is that hole in there?"" ""it looks like something else…that round thing"", ""I think it's too far away, the star is too far away"", starts talking again, inserts finger in tube, ""If I put my hand all in, I might be able to get it"", inserts finger in tube, talks about something else, only has fingers inserted ""almost there...I think my hand is getting a little bit little"", kneels in front of tube, tries to get star out with hand. E  stops game after around 7 min NO TOOL PICKUP. Addition Zsuzsa: I would add that she was disturbed by other children at the beginning and by the school bell at the end. ";nosuccess_focusontubeonly_hand;ID70_AdditionalTask_ToolUse_f_4y;No success;Focus on tube only;Uses hand;;;;;;;1
72;m;58;4;speech is not great and so can be difficult to understand sometimes;60;5;old;no;;incorrect;no;no;no;no;01:52;yes;rope;rope, hose;yes, with hand;yes;no;rope (with hand), hose (with hand);"Tries to get rope with hand and gets rope with hand, inserts rope in tube ""not working"", puts rope next to stick ""next!"" tries to get pipe with hand, ""not coming out"", gets pipe with hand, INCORRECT SUCCESS";incorrectsuccess;ID72_AdditionalTask_ToolUse_m_4y;Incorrect success;Attends to tool boxes;uses hand;Tries to get distractor tool;Gets distractor tool;Uses distractor tool on tube;Gets hose with hand;;;9
71;f;50;4;no;52;4;old;no;;incorrect;no;no;no;no;09:43;yes;short stick;short stick, long stick, rope, hose;yes, with hand;yes;no;long stick (with hand), rope (with hand), hose (with hand);"Tries to lift tube, has to be discouraged, inserts finger ""can't do it"" ""can't do it"" gets prompt, walks round table, goes back to tube, inserts hand ""I can't do it"", ""I try to put my hands in, but it's not working"", gets prompt, picks up stick ""this?"" inserts stick in tube, ""this is not long enough"" ""I can't touch it"" ""but how?"" ""still can't get it out"", keeps inserting stick in tube, gets prompt, looks at tools ""but what?"" walks round table, gets long stick with hand, inserts long stick in tube ""I still can't do it"", puts long stick back in box, gets rope with hand, inserts hand in tube ""Oh, I think I just moved it"" ""can't do it"", puts rope back in box""i tried all of those things"" ""I tried that [rope] and that [short stick] and that [long stick]but not that [hose]...maybe that will help"", gets hose with hand, inserts hose in tube, INCORRECT SUCCESS";incorrectsuccess;ID71_AdditionalTask_ToolUse_f_4y;Incorrect success;Attends to tool boxes;uses hand;Tries to get distractor tool;Gets distractor tool;Uses distractor tool on tube;Gets distractor tool;Tries to get hose;Gets hose with hand;
82;f;39;3;no;42;3;young;no;;no;no;no;yes;no;;yes;short stick;short stick;yes, with hand;no;;;"Stands at boxes, touches rope box ""How can I get it out of the box?"" ""I don't know"" picks up stick ""I'm gonna use this"" inserts stick in tube ""I can't get it that way"", takes stick out and puts it on table, gets prompt, picks up stick ""I'm going to use this"" looks at E a lot and inserts stick in tube only after E nods, ""I can't do it"", ""I don't know how to play with it"" walks round table, briefly tries to get hand in stick box, ""can't get things out of the box"", walks away from table ""stuck"", asks to stop after 6:49. Addition Zsuzsa: she does not seem very engaged with the game from the beginning. ";nosuccess_focusontoolboxes_distractortoolhand;ID82_AdditionalTask_ToolUse_f_3y;No success;Attends to tool boxes;uses hand;Tries to get distractor tool;;;;;;3
83;f;50;4;no information;52;4;old;no;;no;yes;no;no;no;;yes;short stick;short stick;no;;;;"Picks up stick during instructions, after end of instructions, picks up stick and inserts in tube ""hey, why is it not turning round?"" (several times) has stick inserted in tube ""almost"" (several times) after a while ""but it's not turning around"", keeps stick inserted, walks away from table, looks at tube, runs towards it and swiftly inserts stick in tube, gets several prompts from E and RA, does not stop/interrupt child putting stick in tube, ""how did they make this?"" runs towards tube again and inserts stick with force ""almost"" walks away with stick and runs towards tube (2x), drops stick and picks it up again, tries quite engagedly to get the star out, does not need lots of encouragement, pushes stick in tube. E stopped game because time was up STICK INSERT IN TUBE";nosuccess_focusontubeonly_shortstick;ID83_AdditionalTask_ToolUse_f_4y;No success;Focus on tube only;Uses short stick;;;;;;;2
86;m;49;4;no;52;4;old;no;;no;yes;no;no;no;;yes;short stick;short stick;no;;;;"Takes stick and inserts in tube, ""It doesn't work"" (2x) inserts in both sides ""Oh dear, it won't work!"" looks inside tube, ""too far"", inserts stick ""oh dear, I cannot do it"", ""oh dear"", gets prompt, points to hose ""this can help me"", inserts stick in tube ""but I can't get it out"", ""maybe that will help me"" keeps inserting stick, gets prompt, but stays on his side and keeps inserting the stick into the tube, ""too stuck, too long"" looks at tube and inside tube ""but what is this?"" ""maybe this way"" pits stick in other end of tube, drops stick, immediately gets it back, ""I can't do it"" ""which one will I try?"" ""three of them"" sighs, never goes round the table, looks into tube ""I cannot see it""";nosuccess_focusontubeonly_shortstick;ID86_AdditionalTask_ToolUse_m_4y;No success;Focus on tube only;Uses short stick;;;;;;;2
85;f;35;2;no information;36;3;young;no;;no;yes;no;no;no;;yes;rope;rope;yes, with hand;yes;no;rope (with hand);"Inserts finger in tube, ""I can't reach the star"", tries to pick the tube up, has to be discouraged, inserts fingers in tube, points to both ends of the tube ""this one and this one"" kneels down and looks into tube ""I can't see any star"", ""this one"" inserts finger in tube, ""I can't reach it"", gets several prompts, doesn't pick up the stick, inserts finger in tube ""I can't reach"", after prompt looks at boxes, touches rope box, points to box ""this one"", goes round table, reaches inside rope box with hand ""can't reach rope"", looks inside box, reaches inside with hand and gets rope with hand, inserts rope in tube, goes round table and reinserts rope in rope box, looks into box with hose, tries to reach hose with hand, looks into box with long stick, tries to reach long stick with hand, gets rope with hand again and puts it into tube, puts it far inside. Picks up short stick at 9:26 on the video and inserts it to the tube. PICKS UP STICK; GOT ROPE WITH HAND AND INSERTED ROPE";nosuccess_focusontoolboxes_gotatoolfromboxes_useditontube_distractortoolonlyhand;ID85_AdditionalTask_ToolUse_f_2y;No success;Attends to tool boxes;uses hand;Tries to get distractor tool;Gets distractor tool;Uses distractor tool on tube;;;;8
26;m;49;4;no;52;4;old;no;;incorrect;no;no;no;no;;yes;short stick;short stick;no;;;;"""I try to get that out"" Walks round, looks into boxes, talks a lot but doesn't touch anything, ""i think I will go that way"", traces outline of tube with finger, picks up short stick, inserts in tube, takes it out of tube, kneels down, blows into tube, INCORRECT SUCCESS";incorrectsuccess;ID26_AdditionalTask_ToolUse_m_4y;Incorrect success;Focus on tube only;Uses short stick;Blows sticker out of tube;;;;;;
35;m;37;3;no;38;3;young;no;;yes;no;no;no;no;02:20;yes;short stick;short stick, hose;yes, with tool;yes;yes;hose;"Picks up stick during instruction and inserts into tube (has seen a child before doing that), when going round with E, inserts stick in hose box ""pipe"", then goes back round and inserts stick in tube, goes round, inserts stick in hose box and tries to get hose, gets hose out, inserts hose in tube, SUCCESS 2:20 ""the pipe helped me""";success_hosewasretrievedfirst;ID35_AdditionalTask_ToolUse_m_3y;Success;Hose was retrieved first;;;;;;;;12
122;f;53;4;no;54;4;old;no;;incorrect;no;no;no;no;02:20;yes;long stick;long stick, short stick, rope, hose;yes, with hand;yes;no;long stick (hand), rope (with hand), hose (with hand);inserts hand into rope box but can't get it, taps long stick box, puts hand into long stick box, gets long stick, inserts long stick into tube, 'oh this won't help', says 'will this help?' referring to small stick, inserts small stick into tube, gets rope with hands, inserts rope into tube, points to hose says 'will this help', gets hose with hands, inserts hose into tube, INCORRECT SUCCESS;incorrectsuccess;ID122_AdditionalTask_ToolUse_f_4y;Incorrect success;Attends to tool boxes;Uses hand;Tries to get distractor tool;Gets distractor tool;Uses distractor tool on tube;Gets distractor tool with hand;Uses distractor tool on tube;Gets hose with hand;9
127;f;58;4;no;59;4;old;no;;no;yes;no;no;no;;yes;short stick;short stick;no;;;;picks up short stick, hits tube with short stick, tries to take tube off table, E says 'we can't take that off the table', inserts short stick into tube, tries with short stick to get star, says 'I can't do it', is prompted, continues trying and seems to be struggling is prompted 2x more, says 'tricky' and 'I need some help' is prompted, continues trying with short stick, 'this is tricky', is prompted, struggling wiht short stick, is prompted, continues trying with short stick, after 10 mins E says 'Is the start stuck in there?', she says 'yeah'. ONLY SHORT STICK INSERT;nosuccess_focusontubeonly_shortstick;ID127_AdditionalTask_ToolUse_f_4y;No success;Focus on tube only;Uses short stick;;;;;;;2
121;f;58;4;no;60;5;old;yes;experimenter error, Long stick box was not fixed properly to table and child tipped box to get long stick;incorrect;no;no;no;no;05:37;;;;;;;;"""How do I get it out?"" [during instruction, when standing in front of the boxes] manipulates each box, fiddles with tape, touches long stick box, ""I can't get it out"" walks round to tube, inserts stick in tube, tries to get star, ""I can't do it"", gets prompt, touches hose box from tube side, inserts stick in box, puts stick down, touches hose box, goes round to boxes, tries to insert hand in hose box ""i can't get it out"", with hand tips the long stick box so that the long stick rolls to the front, gets long stick with hand, inserts long stick in tube, goes round to boxes again and gets hose with hand, INCORRECT SUCCESS";dropout;ID121_AdditionalTask_ToolUse_f_4y;;;;;;;;;;
